;quantile_10;quantile_25;quantile_50;quantile_75;quantile_90
1;12.265651798248296;97.8846263885498;209.4423599243164;306.3927307128906;368.0
2;-7.167532920837402;63.778114318847656;148.32542419433594;268.6399841308594;344.0
3;-34.345883178710935;49.11724853515625;139.33485412597656;242.04296875;324.0
4;-60.59664764404297;19.9150390625;104.41580963134766;207.37426376342773;300.4119598388673
5;-102.07728729248046;-26.464210510253906;48.99349403381348;143.4265022277832;214.0170394897461
6;-138.54774627685546;-54.356563568115234;27.834805488586426;105.91830635070801;192.06360321044923
7;-202.69842681884768;-114.04457092285156;-30.274932861328125;47.963101387023926;107.1902786254883
8;-295.4473876953125;-196.2421875;-109.05667114257812;-22.677581787109375;35.37031173706055
9;-393.14267883300784;-283.18038177490234;-175.98214721679688;-89.5127010345459;-27.665789985656634
10;-482.29813842773433;-346.9753112792969;-208.0428466796875;-101.34607696533203;-36.094985198974605
